"State","variable","value"
"Nevada","Murder","11.5"
"Nevada","hsGrad","65.2"
"Nevada","Region","West"
"New Hampshire","Illiteracy","0.7"
"New Hampshire","Murder","3.3"
"New Hampshire","hsGrad","57.6"
"New Hampshire","Region","Northeast"
"New Jersey","Illiteracy","1.1"
"New Jersey","Murder","5.2"
"New Jersey","hsGrad","52.5"
"New Jersey","Region","Northeast"
"New Mexico","Illiteracy","2.2"
"New Mexico","Murder","9.7"
"New Mexico","hsGrad","55.2"
"New Mexico","Region","West"
"New York","Illiteracy","1.4"
"New York","Murder","10.9"
"New York","hsGrad","52.7"
"New York","Region","Northeast"
"North Carolina","Illiteracy","1.8"
"North Carolina","Murder","11.1"
"North Carolina","hsGrad","38.5"
"North Carolina","Region","South"
"North Dakota","Illiteracy","0.8"
"North Dakota","Murder","1.4"
"North Dakota","hsGrad","50.3"
"North Dakota","Region","North Central"
"Ohio","Illiteracy","0.8"
"Ohio","Murder","7.4"
"Ohio","hsGrad","53.2"
"Ohio","Region","North Central"
"Oklahoma","Illiteracy","1.1"
"Oklahoma","Murder","6.4"
"Oklahoma","hsGrad","51.6"
"Oklahoma","Region","South"
"Oregon","Illiteracy","0.6"
"Oregon","Murder","4.2"
"Oregon","hsGrad","60"
"Oregon","Region","West"
"Pennsylvania","Illiteracy","1"
"Pennsylvania","Murder","6.1"
"Pennsylvania","hsGrad","50.2"
"Pennsylvania","Region","Northeast"
"Rhode Island","Illiteracy","1.3"
"Rhode Island","Murder","2.4"
"Rhode Island","hsGrad","46.4"
"Rhode Island","Region","Northeast"
"South Carolina","Illiteracy","2.3"
"South Carolina","Murder","11.6"
"South Carolina","hsGrad","37.8"
"South Carolina","Region","South"
"South Dakota","Illiteracy","0.5"
"South Dakota","Murder","1.7"
"South Dakota","hsGrad","53.3"
"South Dakota","Region","North Central"
"Tennessee","Illiteracy","1.7"
"Tennessee","Murder","11"
"Tennessee","hsGrad","41.8"
"Tennessee","Region","South"
"Texas","Illiteracy","2.2"
"Texas","Murder","12.2"
"Texas","hsGrad","47.4"
"Texas","Region","South"
"Utah","Illiteracy","0.6"
"Utah","Murder","4.5"
"Utah","hsGrad","67.3"
"Utah","Region","West"
"Vermont","Illiteracy","0.6"
"Vermont","Murder","5.5"
"Vermont","hsGrad","57.1"
"Vermont","Region","Northeast"
"Virginia","Illiteracy","1.4"
"Virginia","Murder","9.5"
"Virginia","hsGrad","47.8"
"Virginia","Region","South"
"Washington","Illiteracy","0.6"
"Washington","Murder","4.3"
"Washington","hsGrad","63.5"
"Washington","Region","West"
"West Virginia","Illiteracy","1.4"
"West Virginia","Murder","6.7"
"West Virginia","hsGrad","41.6"
"West Virginia","Region","South"
"Wisconsin","Illiteracy","0.7"
"Wisconsin","Murder","3"
"Wisconsin","hsGrad","54.5"
"Wisconsin","Region","North Central"
"Wyoming","Illiteracy","0.6"
"Wyoming","Murder","6.9"
"Wyoming","hsGrad","62.9"
"Wyoming","Region","West"
