"State","variable","value"
"Maine","hsGrad","54.7"
"Maine","Frost","161"
"Maine","Region","Northeast"
"Maryland","LifeExp","70.22"
"Maryland","Murder","8.5"
"Maryland","hsGrad","52.3"
"Maryland","Frost","101"
"Maryland","Region","South"
"Massachusetts","LifeExp","71.83"
"Massachusetts","Murder","3.3"
"Massachusetts","hsGrad","58.5"
"Massachusetts","Frost","103"
"Massachusetts","Region","Northeast"
"Michigan","LifeExp","70.63"
"Michigan","Murder","11.1"
"Michigan","hsGrad","52.8"
"Michigan","Frost","125"
"Michigan","Region","North Central"
"Minnesota","LifeExp","72.96"
"Minnesota","Murder","2.3"
"Minnesota","hsGrad","57.6"
"Minnesota","Frost","160"
"Minnesota","Region","North Central"
"Mississippi","LifeExp","68.09"
"Mississippi","Murder","12.5"
"Mississippi","hsGrad","41"
"Mississippi","Frost","50"
"Mississippi","Region","South"
"Missouri","LifeExp","70.69"
"Missouri","Murder","9.3"
"Missouri","hsGrad","48.8"
"Missouri","Frost","108"
"Missouri","Region","North Central"
"Montana","LifeExp","70.56"
"Montana","Murder","5"
"Montana","hsGrad","59.2"
"Montana","Frost","155"
"Montana","Region","West"
"Nebraska","LifeExp","72.6"
"Nebraska","Murder","2.9"
"Nebraska","hsGrad","59.3"
"Nebraska","Frost","139"
"Nebraska","Region","North Central"
"Nevada","LifeExp","69.03"
"Nevada","Murder","11.5"
"Nevada","hsGrad","65.2"
"Nevada","Frost","188"
"Nevada","Region","West"
"New Hampshire","LifeExp","71.23"
"New Hampshire","Murder","3.3"
"New Hampshire","hsGrad","57.6"
"New Hampshire","Frost","174"
"New Hampshire","Region","Northeast"
"New Jersey","LifeExp","70.93"
"New Jersey","Murder","5.2"
"New Jersey","hsGrad","52.5"
"New Jersey","Frost","115"
"New Jersey","Region","Northeast"
"New Mexico","LifeExp","70.32"
"New Mexico","Murder","9.7"
"New Mexico","hsGrad","55.2"
"New Mexico","Frost","120"
"New Mexico","Region","West"
"New York","LifeExp","70.55"
"New York","Murder","10.9"
"New York","hsGrad","52.7"
"New York","Frost","82"
"New York","Region","Northeast"
"North Carolina","LifeExp","69.21"
"North Carolina","Murder","11.1"
"North Carolina","hsGrad","38.5"
"North Carolina","Frost","80"
"North Carolina","Region","South"
"North Dakota","LifeExp","72.78"
"North Dakota","Murder","1.4"
"North Dakota","hsGrad","50.3"
"North Dakota","Frost","186"
"North Dakota","Region","North Central"
"Ohio","LifeExp","70.82"
"Ohio","Murder","7.4"
"Ohio","hsGrad","53.2"
"Ohio","Frost","124"
"Ohio","Region","North Central"
"Oklahoma","LifeExp","71.42"
"Oklahoma","Murder","6.4"
"Oklahoma","hsGrad","51.6"
"Oklahoma","Frost","82"
"Oklahoma","Region","South"
"Oregon","LifeExp","72.13"
"Oregon","Murder","4.2"
"Oregon","hsGrad","60"
"Oregon","Frost","44"
"Oregon","Region","West"
"Pennsylvania","LifeExp","70.43"
"Pennsylvania","Murder","6.1"
"Pennsylvania","hsGrad","50.2"
"Pennsylvania","Frost","126"
"Pennsylvania","Region","Northeast"
"Rhode Island","LifeExp","71.9"
"Rhode Island","Murder","2.4"
"Rhode Island","hsGrad","46.4"
"Rhode Island","Frost","127"
"Rhode Island","Region","Northeast"
"South Carolina","LifeExp","67.96"
"South Carolina","Murder","11.6"
"South Carolina","hsGrad","37.8"
"South Carolina","Frost","65"
"South Carolina","Region","South"
"South Dakota","LifeExp","72.08"
"South Dakota","Murder","1.7"
"South Dakota","hsGrad","53.3"
"South Dakota","Frost","172"
"South Dakota","Region","North Central"
"Tennessee","LifeExp","70.11"
"Tennessee","Murder","11"
"Tennessee","hsGrad","41.8"
"Tennessee","Frost","70"
"Tennessee","Region","South"
"Texas","LifeExp","70.9"
"Texas","Murder","12.2"
"Texas","hsGrad","47.4"
"Texas","Frost","35"
"Texas","Region","South"
"Utah","LifeExp","72.9"
"Utah","Murder","4.5"
"Utah","hsGrad","67.3"
"Utah","Frost","137"
"Utah","Region","West"
"Vermont","LifeExp","71.64"
"Vermont","Murder","5.5"
"Vermont","hsGrad","57.1"
"Vermont","Frost","168"
"Vermont","Region","Northeast"
"Virginia","LifeExp","70.08"
"Virginia","Murder","9.5"
"Virginia","hsGrad","47.8"
"Virginia","Frost","85"
"Virginia","Region","South"
"Washington","LifeExp","71.72"
"Washington","Murder","4.3"
"Washington","hsGrad","63.5"
"Washington","Frost","32"
"Washington","Region","West"
"West Virginia","LifeExp","69.48"
"West Virginia","Murder","6.7"
"West Virginia","hsGrad","41.6"
"West Virginia","Frost","100"
"West Virginia","Region","South"
"Wisconsin","LifeExp","72.48"
"Wisconsin","Murder","3"
"Wisconsin","hsGrad","54.5"
"Wisconsin","Frost","149"
"Wisconsin","Region","North Central"
"Wyoming","LifeExp","70.29"
"Wyoming","Murder","6.9"
"Wyoming","hsGrad","62.9"
"Wyoming","Frost","173"
"Wyoming","Region","West"
