"State","variable","value"
"Minnesota","Frost",160
"Minnesota","Area",79289
"Mississippi","Population",2341
"Mississippi","Income",3098
"Mississippi","Illiteracy",2.4
"Mississippi","LifeExp",68.09
"Mississippi","Murder",12.5
"Mississippi","hsGrad",41
"Mississippi","Frost",50
"Mississippi","Area",47296
"Missouri","Population",4767
"Missouri","Income",4254
"Missouri","Illiteracy",0.8
"Missouri","LifeExp",70.69
"Missouri","Murder",9.3
"Missouri","hsGrad",48.8
"Missouri","Frost",108
"Missouri","Area",68995
"Montana","Population",746
"Montana","Income",4347
"Montana","Illiteracy",0.6
"Montana","LifeExp",70.56
"Montana","Murder",5
"Montana","hsGrad",59.2
"Montana","Frost",155
"Montana","Area",145587
"Nebraska","Population",1544
"Nebraska","Income",4508
"Nebraska","Illiteracy",0.6
"Nebraska","LifeExp",72.6
"Nebraska","Murder",2.9
"Nebraska","hsGrad",59.3
"Nebraska","Frost",139
"Nebraska","Area",76483
"Nevada","Population",590
"Nevada","Income",5149
"Nevada","Illiteracy",0.5
"Nevada","LifeExp",69.03
"Nevada","Murder",11.5
"Nevada","hsGrad",65.2
"Nevada","Frost",188
"Nevada","Area",109889
"New Hampshire","Population",812
"New Hampshire","Income",4281
"New Hampshire","Illiteracy",0.7
"New Hampshire","LifeExp",71.23
"New Hampshire","Murder",3.3
"New Hampshire","hsGrad",57.6
"New Hampshire","Frost",174
"New Hampshire","Area",9027
"New Jersey","Population",7333
"New Jersey","Income",5237
"New Jersey","Illiteracy",1.1
"New Jersey","LifeExp",70.93
"New Jersey","Murder",5.2
"New Jersey","hsGrad",52.5
"New Jersey","Frost",115
"New Jersey","Area",7521
"New Mexico","Population",1144
"New Mexico","Income",3601
"New Mexico","Illiteracy",2.2
"New Mexico","LifeExp",70.32
"New Mexico","Murder",9.7
"New Mexico","hsGrad",55.2
"New Mexico","Frost",120
"New Mexico","Area",121412
"New York","Population",18076
"New York","Income",4903
"New York","Illiteracy",1.4
"New York","LifeExp",70.55
"New York","Murder",10.9
"New York","hsGrad",52.7
"New York","Frost",82
"New York","Area",47831
"North Carolina","Population",5441
"North Carolina","Income",3875
"North Carolina","Illiteracy",1.8
"North Carolina","LifeExp",69.21
"North Carolina","Murder",11.1
"North Carolina","hsGrad",38.5
"North Carolina","Frost",80
"North Carolina","Area",48798
"North Dakota","Population",637
"North Dakota","Income",5087
"North Dakota","Illiteracy",0.8
"North Dakota","LifeExp",72.78
"North Dakota","Murder",1.4
"North Dakota","hsGrad",50.3
"North Dakota","Frost",186
"North Dakota","Area",69273
"Ohio","Population",10735
"Ohio","Income",4561
"Ohio","Illiteracy",0.8
"Ohio","LifeExp",70.82
"Ohio","Murder",7.4
"Ohio","hsGrad",53.2
"Ohio","Frost",124
"Ohio","Area",40975
"Oklahoma","Population",2715
"Oklahoma","Income",3983
"Oklahoma","Illiteracy",1.1
"Oklahoma","LifeExp",71.42
"Oklahoma","Murder",6.4
"Oklahoma","hsGrad",51.6
"Oklahoma","Frost",82
"Oklahoma","Area",68782
"Oregon","Population",2284
"Oregon","Income",4660
"Oregon","Illiteracy",0.6
"Oregon","LifeExp",72.13
"Oregon","Murder",4.2
"Oregon","hsGrad",60
"Oregon","Frost",44
"Oregon","Area",96184
"Pennsylvania","Population",11860
"Pennsylvania","Income",4449
"Pennsylvania","Illiteracy",1
"Pennsylvania","LifeExp",70.43
"Pennsylvania","Murder",6.1
"Pennsylvania","hsGrad",50.2
"Pennsylvania","Frost",126
"Pennsylvania","Area",44966
"Rhode Island","Population",931
"Rhode Island","Income",4558
"Rhode Island","Illiteracy",1.3
"Rhode Island","LifeExp",71.9
"Rhode Island","Murder",2.4
"Rhode Island","hsGrad",46.4
"Rhode Island","Frost",127
"Rhode Island","Area",1049
"South Carolina","Population",2816
"South Carolina","Income",3635
"South Carolina","Illiteracy",2.3
"South Carolina","LifeExp",67.96
"South Carolina","Murder",11.6
"South Carolina","hsGrad",37.8
"South Carolina","Frost",65
"South Carolina","Area",30225
"South Dakota","Population",681
"South Dakota","Income",4167
"South Dakota","Illiteracy",0.5
"South Dakota","LifeExp",72.08
"South Dakota","Murder",1.7
"South Dakota","hsGrad",53.3
"South Dakota","Frost",172
"South Dakota","Area",75955
"Tennessee","Population",4173
"Tennessee","Income",3821
"Tennessee","Illiteracy",1.7
"Tennessee","LifeExp",70.11
"Tennessee","Murder",11
"Tennessee","hsGrad",41.8
"Tennessee","Frost",70
"Tennessee","Area",41328
"Texas","Population",12237
"Texas","Income",4188
"Texas","Illiteracy",2.2
"Texas","LifeExp",70.9
"Texas","Murder",12.2
"Texas","hsGrad",47.4
"Texas","Frost",35
"Texas","Area",262134
"Utah","Population",1203
"Utah","Income",4022
"Utah","Illiteracy",0.6
"Utah","LifeExp",72.9
"Utah","Murder",4.5
"Utah","hsGrad",67.3
"Utah","Frost",137
"Utah","Area",82096
"Vermont","Population",472
"Vermont","Income",3907
"Vermont","Illiteracy",0.6
"Vermont","LifeExp",71.64
"Vermont","Murder",5.5
"Vermont","hsGrad",57.1
"Vermont","Frost",168
"Vermont","Area",9267
"Virginia","Population",4981
"Virginia","Income",4701
"Virginia","Illiteracy",1.4
"Virginia","LifeExp",70.08
"Virginia","Murder",9.5
"Virginia","hsGrad",47.8
"Virginia","Frost",85
"Virginia","Area",39780
"Washington","Population",3559
"Washington","Income",4864
"Washington","Illiteracy",0.6
"Washington","LifeExp",71.72
"Washington","Murder",4.3
"Washington","hsGrad",63.5
"Washington","Frost",32
"Washington","Area",66570
"West Virginia","Population",1799
"West Virginia","Income",3617
"West Virginia","Illiteracy",1.4
"West Virginia","LifeExp",69.48
"West Virginia","Murder",6.7
"West Virginia","hsGrad",41.6
"West Virginia","Frost",100
"West Virginia","Area",24070
"Wisconsin","Population",4589
"Wisconsin","Income",4468
"Wisconsin","Illiteracy",0.7
"Wisconsin","LifeExp",72.48
"Wisconsin","Murder",3
"Wisconsin","hsGrad",54.5
"Wisconsin","Frost",149
"Wisconsin","Area",54464
"Wyoming","Population",376
"Wyoming","Income",4566
"Wyoming","Illiteracy",0.6
"Wyoming","LifeExp",70.29
"Wyoming","Murder",6.9
"Wyoming","hsGrad",62.9
"Wyoming","Frost",173
"Wyoming","Area",97203
