"year","variable","value"
1992,"Drama",30
1993,"Drama",41
1994,"Drama",41
1995,"Drama",66
1996,"Drama",80
1997,"Drama",94
1998,"Drama",108
1999,"Drama",116
2000,"Drama",121
2001,"Drama",150
2002,"Drama",182
2003,"Drama",140
2004,"Drama",177
2005,"Drama",39
1903,"Documentary",0
1906,"Documentary",0
1908,"Documentary",0
1912,"Documentary",0
1913,"Documentary",0
1914,"Documentary",0
1915,"Documentary",0
1916,"Documentary",0
1917,"Documentary",0
1918,"Documentary",0
1919,"Documentary",0
1920,"Documentary",0
1921,"Documentary",0
1922,"Documentary",1
1923,"Documentary",1
1924,"Documentary",0
1925,"Documentary",0
1926,"Documentary",0
1927,"Documentary",0
1928,"Documentary",0
1929,"Documentary",0
1930,"Documentary",0
1931,"Documentary",0
1932,"Documentary",0
1933,"Documentary",0
1934,"Documentary",0
1935,"Documentary",0
1936,"Documentary",0
1937,"Documentary",0
1938,"Documentary",0
1939,"Documentary",0
1940,"Documentary",0
1941,"Documentary",0
1942,"Documentary",0
1943,"Documentary",1
1944,"Documentary",0
1945,"Documentary",0
1946,"Documentary",0
1947,"Documentary",0
1948,"Documentary",1
1949,"Documentary",0
1950,"Documentary",0
1951,"Documentary",1
1952,"Documentary",0
1953,"Documentary",0
1954,"Documentary",0
1955,"Documentary",0
1956,"Documentary",0
1957,"Documentary",1
1958,"Documentary",0
1959,"Documentary",0
1960,"Documentary",0
1961,"Documentary",0
1962,"Documentary",0
1963,"Documentary",1
1964,"Documentary",0
1965,"Documentary",0
1966,"Documentary",1
1967,"Documentary",0
1968,"Documentary",0
1969,"Documentary",1
1970,"Documentary",1
1971,"Documentary",0
1972,"Documentary",0
1973,"Documentary",0
1974,"Documentary",0
1975,"Documentary",0
1976,"Documentary",0
1977,"Documentary",0
1978,"Documentary",1
1979,"Documentary",2
1980,"Documentary",1
1981,"Documentary",2
1982,"Documentary",2
1983,"Documentary",0
1984,"Documentary",0
1985,"Documentary",1
1986,"Documentary",0
1987,"Documentary",0
1988,"Documentary",2
1989,"Documentary",2
1990,"Documentary",1
1991,"Documentary",1
1992,"Documentary",0
1993,"Documentary",0
1994,"Documentary",2
1995,"Documentary",1
1996,"Documentary",1
1997,"Documentary",2
1998,"Documentary",5
1999,"Documentary",4
2000,"Documentary",2
2001,"Documentary",10
2002,"Documentary",18
2003,"Documentary",17
2004,"Documentary",36
2005,"Documentary",4
1903,"Romance",0
1906,"Romance",0
1908,"Romance",0
1912,"Romance",0
1913,"Romance",0
1914,"Romance",0
1915,"Romance",0
1916,"Romance",0
1917,"Romance",0
1918,"Romance",0
1919,"Romance",3
1920,"Romance",1
1921,"Romance",0
1922,"Romance",1
1923,"Romance",2
1924,"Romance",1
1925,"Romance",3
1926,"Romance",3
1927,"Romance",3
1928,"Romance",3
1929,"Romance",4
1930,"Romance",4
1931,"Romance",3
1932,"Romance",5
1933,"Romance",17
1934,"Romance",7
1935,"Romance",9
1936,"Romance",9
1937,"Romance",6
1938,"Romance",7
1939,"Romance",7
1940,"Romance",7
1941,"Romance",5
1942,"Romance",5
1943,"Romance",1
1944,"Romance",3
1945,"Romance",5
1946,"Romance",5
1947,"Romance",6
1948,"Romance",7
1949,"Romance",5
1950,"Romance",3
1951,"Romance",5
1952,"Romance",5
1953,"Romance",4
1954,"Romance",5
1955,"Romance",6
1956,"Romance",1
1957,"Romance",6
1958,"Romance",3
1959,"Romance",6
1960,"Romance",4
1961,"Romance",5
1962,"Romance",4
1963,"Romance",7
1964,"Romance",3
1965,"Romance",2
1966,"Romance",4
1967,"Romance",5
1968,"Romance",4
1969,"Romance",6
1970,"Romance",6
1971,"Romance",2
1972,"Romance",4
1973,"Romance",1
1974,"Romance",2
1975,"Romance",2
1976,"Romance",5
1977,"Romance",3
1978,"Romance",1
1979,"Romance",1
1980,"Romance",5
1981,"Romance",6
1982,"Romance",1
1983,"Romance",3
1984,"Romance",5
1985,"Romance",10
1986,"Romance",8
1987,"Romance",7
1988,"Romance",5
1989,"Romance",4
1990,"Romance",8
1991,"Romance",9
1992,"Romance",11
1993,"Romance",13
1994,"Romance",18
1995,"Romance",22
1996,"Romance",25
1997,"Romance",25
1998,"Romance",39
1999,"Romance",40
2000,"Romance",42
2001,"Romance",57
2002,"Romance",51
2003,"Romance",38
2004,"Romance",46
2005,"Romance",11
